 v-sweep         v(vin)          v(vout)        
 1.53000000e-01  1.53000000e-01  1.49956381e+00 
 1.54000000e-01  1.54000000e-01  1.49954990e+00 
 1.55000000e-01  1.55000000e-01  1.49953555e+00 
 1.56000000e-01  1.56000000e-01  1.49952076e+00 
 1.57000000e-01  1.57000000e-01  1.49950552e+00 
 1.58000000e-01  1.58000000e-01  1.49948980e+00 
 1.59000000e-01  1.59000000e-01  1.49947360e+00 
 1.60000000e-01  1.60000000e-01  1.49945691e+00 
 1.61000000e-01  1.61000000e-01  1.49943971e+00 
 1.62000000e-01  1.62000000e-01  1.49942198e+00 
 1.63000000e-01  1.63000000e-01  1.49940371e+00 
 1.64000000e-01  1.64000000e-01  1.49938489e+00 
 1.65000000e-01  1.65000000e-01  1.49936550e+00 
 1.66000000e-01  1.66000000e-01  1.49934553e+00 
 1.67000000e-01  1.67000000e-01  1.49932495e+00 
 1.68000000e-01  1.68000000e-01  1.49930376e+00 
 1.69000000e-01  1.69000000e-01  1.49928193e+00 
 1.70000000e-01  1.70000000e-01  1.49925946e+00 
 1.71000000e-01  1.71000000e-01  1.49923631e+00 
 1.72000000e-01  1.72000000e-01  1.49921248e+00 
 1.73000000e-01  1.73000000e-01  1.49918794e+00 
 1.74000000e-01  1.74000000e-01  1.49916268e+00 
 1.75000000e-01  1.75000000e-01  1.49913668e+00 
 1.76000000e-01  1.76000000e-01  1.49910992e+00 
 1.77000000e-01  1.77000000e-01  1.49908238e+00 
 1.78000000e-01  1.78000000e-01  1.49905404e+00 
 1.79000000e-01  1.79000000e-01  1.49902488e+00 
 1.80000000e-01  1.80000000e-01  1.49899488e+00 
 1.81000000e-01  1.81000000e-01  1.49896402e+00 
 1.82000000e-01  1.82000000e-01  1.49893228e+00 
 1.83000000e-01  1.83000000e-01  1.49889963e+00 
 1.84000000e-01  1.84000000e-01  1.49886606e+00 
 1.85000000e-01  1.85000000e-01  1.49883154e+00 
 1.86000000e-01  1.86000000e-01  1.49879605e+00 
 1.87000000e-01  1.87000000e-01  1.49875957e+00 
 1.88000000e-01  1.88000000e-01  1.49872207e+00 
 1.89000000e-01  1.89000000e-01  1.49868353e+00 
 1.90000000e-01  1.90000000e-01  1.49864393e+00 
 1.91000000e-01  1.91000000e-01  1.49860324e+00 
 1.92000000e-01  1.92000000e-01  1.49856144e+00 
 1.93000000e-01  1.93000000e-01  1.49851851e+00 
 1.94000000e-01  1.94000000e-01  1.49847441e+00 
 1.95000000e-01  1.95000000e-01  1.49842913e+00 
 1.96000000e-01  1.96000000e-01  1.49838264e+00 
