 time            v(vr)           v(VDD)          i(r1)          
 7.99713207e-09  3.30131156e+00  3.30000000e+00 -1.31156186e-05 
 8.03013726e-09  3.30281997e+00  3.30000000e+00 -2.81996742e-05 
 8.07074602e-09  3.30317781e+00  3.30000000e+00 -3.17780879e-05 
 8.10290612e-09  3.30246174e+00  3.30000000e+00 -2.46173591e-05 
 8.12964758e-09  3.30142464e+00  3.30000000e+00 -1.42463791e-05 
 8.14442758e-09  3.29958207e+00  3.30000000e+00  4.17930087e-06 
 8.15568172e-09  3.30004800e+00  3.30000000e+00 -4.80047335e-07 
 8.16776013e-09  3.30029717e+00  3.30000000e+00 -2.97174705e-06 
 8.18104918e-09  3.30086767e+00  3.30000000e+00 -8.67666345e-06 
 8.20336891e-09  3.30135611e+00  3.30000000e+00 -1.35610802e-05 
 8.24043572e-09  3.30136821e+00  3.30000000e+00 -1.36821269e-05 
 8.29002306e-09  3.30096383e+00  3.30000000e+00 -9.63832869e-06 
 8.34140222e-09  3.30056676e+00  3.30000000e+00 -5.66757969e-06 
 8.39022832e-09  3.30032455e+00  3.30000000e+00 -3.24551907e-06 
 8.43615444e-09  3.30019321e+00  3.30000000e+00 -1.93209772e-06 
 8.48086212e-09  3.30012037e+00  3.30000000e+00 -1.20373145e-06 
 8.52889297e-09  3.30007455e+00  3.30000000e+00 -7.45517997e-07 
 8.57367563e-09  3.30004887e+00  3.30000000e+00 -4.88691214e-07 
 8.62037857e-09  3.30003211e+00  3.30000000e+00 -3.21052946e-07 
 8.67639721e-09  3.30001980e+00  3.30000000e+00 -1.97955217e-07 
 8.74315546e-09  3.30001146e+00  3.30000000e+00 -1.14604400e-07 
 8.82909139e-09  3.30000594e+00  3.30000000e+00 -5.94395008e-08 
 8.92909139e-09  3.30000300e+00  3.30000000e+00 -3.00448258e-08 
 9.02909139e-09  3.30000172e+00  3.30000000e+00 -1.71513950e-08 
 9.12909139e-09  3.30000109e+00  3.30000000e+00 -1.08929031e-08 
 9.22909139e-09  3.30000073e+00  3.30000000e+00 -7.29290844e-09 
 9.32909139e-09  3.30000049e+00  3.30000000e+00 -4.92389274e-09 
 9.42909139e-09  3.30000033e+00  3.30000000e+00 -3.28241719e-09 
 9.52909139e-09  3.30000021e+00  3.30000000e+00 -2.14951385e-09 
