 time            i(i0)           i(v1)           vr1             vr2            
 4.82707401e-08  3.30000000e-04  4.31166897e-03  2.45000000e+00  2.95000000e+00 
 4.82828682e-08  3.30000000e-04  4.87991713e-03  2.45000000e+00  2.95000000e+00 
 4.82969118e-08  3.30000000e-04  5.24894646e-03  2.45000000e+00  2.95000000e+00 
 4.83182238e-08  3.30000000e-04  5.42894530e-03  2.45000000e+00  2.95000000e+00 
 4.83421110e-08  3.30000000e-04  5.22688473e-03  2.45000000e+00  2.95000000e+00 
 4.83754963e-08  3.30000000e-04  3.99749957e-03  2.45000000e+00  2.95000000e+00 
 4.84037542e-08  3.30000000e-04  2.46973642e-03  2.45000000e+00  2.95000000e+00 
 4.84199692e-08  3.30000000e-04  1.78855767e-03  2.45000000e+00  2.95000000e+00 
 4.84337772e-08  3.30000000e-04  8.93190461e-04  2.45000000e+00  2.95000000e+00 
 4.84399952e-08  3.30000000e-04  5.48235805e-04  2.45000000e+00  2.95000000e+00 
 4.84456187e-08  3.30000000e-04  3.73212268e-04  2.45000000e+00  2.95000000e+00 
 4.84507597e-08  3.30000000e-04  2.72890974e-04  2.45000000e+00  2.95000000e+00 
 4.84592809e-08  3.30000000e-04  1.57766329e-04  2.45000000e+00  2.95000000e+00 
 4.84680596e-08  3.30000000e-04  8.80352548e-05  2.45000000e+00  2.95000000e+00 
 4.84850580e-08  3.30000000e-04  2.40277725e-05  2.45000000e+00  2.95000000e+00 
 4.85028911e-08  3.30000000e-04  2.92801741e-06  2.45000000e+00  2.95000000e+00 
 4.85385572e-08  3.30000000e-04 -5.28869620e-06  2.45000000e+00  2.95000000e+00 
 4.85756056e-08  3.30000000e-04 -3.29588140e-06  2.45000000e+00  2.95000000e+00 
 4.86497024e-08  3.30000000e-04 -1.17810056e-06  2.45000000e+00  2.95000000e+00 
 4.87497024e-08  3.30000000e-04 -7.76637593e-07  2.45000000e+00  2.95000000e+00 
 4.88497024e-08  3.30000000e-04 -8.45173471e-07  2.45000000e+00  2.95000000e+00 
 4.89095069e-08  3.30000000e-04 -1.12843688e-06  2.45000000e+00  2.95000000e+00 
 4.89561009e-08  3.30000000e-04 -2.40926931e-06  2.45000000e+00  2.95000000e+00 
 4.90006260e-08  3.30000000e-04 -3.05745266e-06  2.45000000e+00  2.95000000e+00 
 4.90401973e-08  3.30000000e-04 -1.41307668e-06  2.45000000e+00  2.95000000e+00 
 4.90838629e-08  3.30000000e-04  8.40872400e-08  2.45000000e+00  2.95000000e+00 
 4.91214597e-08  3.30000000e-04  1.27420693e-06  2.45000000e+00  2.95000000e+00 
 4.91524802e-08  3.30000000e-04  2.49962085e-06  2.45000000e+00  2.95000000e+00 
 4.91864863e-08  3.30000000e-04  3.38031268e-06  2.45000000e+00  2.95000000e+00 
 4.92239925e-08  3.30000000e-04  1.95778491e-06  2.45000000e+00  2.95000000e+00 
 4.92480265e-08  3.30000000e-04 -5.01833995e-07  2.45000000e+00  2.95000000e+00 
 4.92764090e-08  3.30000000e-04 -6.90527265e-07  2.45000000e+00  2.95000000e+00 
 4.93054408e-08  3.30000000e-04  7.55309580e-07  2.45000000e+00  2.95000000e+00 
 4.93349865e-08  3.30000000e-04  1.75319164e-06  2.45000000e+00  2.95000000e+00 
 4.93721750e-08  3.30000000e-04  1.81094195e-06  2.45000000e+00  2.95000000e+00 
 4.94226123e-08  3.30000000e-04  1.14031357e-06  2.45000000e+00  2.95000000e+00 
 4.94947077e-08  3.30000000e-04  2.27209105e-07  2.45000000e+00  2.95000000e+00 
 4.95733451e-08  3.30000000e-04 -4.82255447e-07  2.45000000e+00  2.95000000e+00 
 4.96634369e-08  3.30000000e-04 -7.62455751e-07  2.45000000e+00  2.95000000e+00 
 4.97634369e-08  3.30000000e-04 -6.13186599e-07  2.45000000e+00  2.95000000e+00 
 4.98634369e-08  3.30000000e-04 -3.58252252e-07  2.45000000e+00  2.95000000e+00 
 4.99317185e-08  3.30000000e-04 -2.18221838e-07  2.45000000e+00  2.95000000e+00 
 5.00000000e-08  3.30000000e-04 -1.29287693e-07  2.45000000e+00  2.95000000e+00 
 0.00000000e+00  3.30000000e-04 -2.53572010e-12  2.55000000e+00  3.05000000e+00 
 1.00000000e-12  3.30000000e-04  1.91570898e-07  2.55000000e+00  3.05000000e+00 
 1.26697812e-12  3.30000000e-04  1.53824327e-07  2.55000000e+00  3.05000000e+00 
 1.80093437e-12  3.30000000e-04  6.85144455e-08  2.55000000e+00  3.05000000e+00 
 2.86884686e-12  3.30000000e-04 -1.47362008e-08  2.55000000e+00  3.05000000e+00 
 3.85606566e-12  3.30000000e-04 -3.67595834e-08  2.55000000e+00  3.05000000e+00 
 5.83050327e-12  3.30000000e-04 -2.01401824e-09  2.55000000e+00  3.05000000e+00 
 9.55224801e-12  3.30000000e-04  3.80075891e-08  2.55000000e+00  3.05000000e+00 
 1.69957375e-11  3.30000000e-04 -7.90994858e-09  2.55000000e+00  3.05000000e+00 
 3.18827164e-11  3.30000000e-04 -1.43220142e-08  2.55000000e+00  3.05000000e+00 
 5.95310236e-11  3.30000000e-04  1.10178893e-09  2.55000000e+00  3.05000000e+00 
 1.06773274e-10  3.30000000e-04  2.69173438e-09  2.55000000e+00  3.05000000e+00 
 1.59875212e-10  3.30000000e-04 -5.45902302e-08  2.55000000e+00  3.05000000e+00 
