 time            i(i0)           i(v1)           vr1             vr2            
 1.11632341e-06  5.55992000e-06  7.31414616e-13  8.25000000e-01  2.47500000e+00 
 1.12225875e-06  5.55992000e-06  1.06762605e-12  8.25000000e-01  2.47500000e+00 
 1.12819409e-06  5.55992000e-06  1.26143478e-12  8.25000000e-01  2.47500000e+00 
 1.13412943e-06  5.55992000e-06  1.30281910e-12  8.25000000e-01  2.47500000e+00 
 1.14006477e-06  5.55992000e-06  1.31043889e-12  8.25000000e-01  2.47500000e+00 
 1.14600011e-06  5.55992000e-06  1.31374875e-12  8.25000000e-01  2.47500000e+00 
 1.15193545e-06  5.55992000e-06  1.31477223e-12  8.25000000e-01  2.47500000e+00 
 1.15787079e-06  5.55992000e-06  1.31549561e-12  8.25000000e-01  2.47500000e+00 
 1.16380613e-06  5.55992000e-06  1.31609843e-12  8.25000000e-01  2.47500000e+00 
 1.16974147e-06  5.55992000e-06  1.31627017e-12  8.25000000e-01  2.47500000e+00 
 1.17567681e-06  5.55992000e-06  1.31642022e-12  8.25000000e-01  2.47500000e+00 
 1.18161215e-06  5.55992000e-06  1.31640114e-12  8.25000000e-01  2.47500000e+00 
 1.18754749e-06  5.55992000e-06  1.31672293e-12  8.25000000e-01  2.47500000e+00 
 1.19348283e-06  5.55992000e-06  1.31655206e-12  8.25000000e-01  2.47500000e+00 
 1.19941817e-06  5.55992000e-06  1.31668824e-12  8.25000000e-01  2.47500000e+00 
 1.20535351e-06  5.55992000e-06  1.31627017e-12  8.25000000e-01  2.47500000e+00 
 1.21128885e-06  5.55992000e-06  1.31655553e-12  8.25000000e-01  2.47500000e+00 
 1.21722419e-06  5.55992000e-06  1.31656767e-12  8.25000000e-01  2.47500000e+00 
 1.22315953e-06  5.55992000e-06  1.31657895e-12  8.25000000e-01  2.47500000e+00 
 1.22909487e-06  5.55992000e-06  1.31647573e-12  8.25000000e-01  2.47500000e+00 
 1.23503021e-06  5.55992000e-06  1.31644711e-12  8.25000000e-01  2.47500000e+00 
 1.24096555e-06  5.55992000e-06  1.31639073e-12  8.25000000e-01  2.47500000e+00 
 1.24690089e-06  5.55992000e-06  1.31590848e-12  8.25000000e-01  2.47500000e+00 
 1.25283623e-06  5.55992000e-06  1.32069112e-12  8.25000000e-01  2.47500000e+00 
 1.25877157e-06  5.55992000e-06  1.33552130e-12  8.25000000e-01  2.47500000e+00 
 1.26118445e-06  5.55992000e-06  2.05423259e-12  8.25000000e-01  2.47500000e+00 
 1.26252783e-06  5.55992000e-06 -2.19654155e-11  8.25000000e-01  2.47500000e+00 
 1.26347300e-06  5.55992000e-06 -1.19391780e-10  8.25000000e-01  2.47500000e+00 
 1.26453923e-06  5.55992000e-06  7.64443398e-11  8.25000000e-01  2.47500000e+00 
 1.26555366e-06  5.55992000e-06  1.19582137e-10  8.25000000e-01  2.47500000e+00 
 1.26662252e-06  5.55992000e-06 -1.44488926e-11  8.25000000e-01  2.47500000e+00 
 1.26837375e-06  5.55992000e-06 -5.19283642e-11  8.25000000e-01  2.47500000e+00 
 1.27029083e-06  5.55992000e-06 -5.76448387e-12  8.25000000e-01  2.47500000e+00 
