 time            i(i0)           i(v1)           vr1             vr2            
 7.96808844e-09  3.30000000e-04  6.80527632e-03  6.50000000e-01  2.65000000e+00 
 7.99933660e-09  3.30000000e-04  7.28951543e-03  6.50000000e-01  2.65000000e+00 
 8.04023002e-09  3.30000000e-04  7.37731583e-03  6.50000000e-01  2.65000000e+00 
 8.07852257e-09  3.30000000e-04  6.83029670e-03  6.50000000e-01  2.65000000e+00 
 8.11362500e-09  3.30000000e-04  6.04205257e-03  6.50000000e-01  2.65000000e+00 
 8.14632657e-09  3.30000000e-04  5.26873971e-03  6.50000000e-01  2.65000000e+00 
 8.17946272e-09  3.30000000e-04  4.50074710e-03  6.50000000e-01  2.65000000e+00 
 8.20197900e-09  3.30000000e-04  3.71578208e-03  6.50000000e-01  2.65000000e+00 
 8.22445811e-09  3.30000000e-04  2.94607926e-03  6.50000000e-01  2.65000000e+00 
 8.24485599e-09  3.30000000e-04  2.47797484e-03  6.50000000e-01  2.65000000e+00 
 8.26296888e-09  3.30000000e-04  2.19306009e-03  6.50000000e-01  2.65000000e+00 
 8.28233260e-09  3.30000000e-04  1.92679905e-03  6.50000000e-01  2.65000000e+00 
 8.32106003e-09  3.30000000e-04  1.45612138e-03  6.50000000e-01  2.65000000e+00 
 8.38242563e-09  3.30000000e-04  8.95099444e-04  6.50000000e-01  2.65000000e+00 
 8.45102123e-09  3.30000000e-04  4.95019569e-04  6.50000000e-01  2.65000000e+00 
 8.53811097e-09  3.30000000e-04  2.14085982e-04  6.50000000e-01  2.65000000e+00 
 8.63670097e-09  3.30000000e-04  6.81488724e-05  6.50000000e-01  2.65000000e+00 
 8.73670097e-09  3.30000000e-04  1.25513815e-05  6.50000000e-01  2.65000000e+00 
 8.83670097e-09  3.30000000e-04 -3.40811783e-06  6.50000000e-01  2.65000000e+00 
 8.93670097e-09  3.30000000e-04 -5.34145091e-06  6.50000000e-01  2.65000000e+00 
 9.03670097e-09  3.30000000e-04 -3.69406521e-06  6.50000000e-01  2.65000000e+00 
 9.13670097e-09  3.30000000e-04 -1.93626093e-06  6.50000000e-01  2.65000000e+00 
 9.23670097e-09  3.30000000e-04 -8.20913930e-07  6.50000000e-01  2.65000000e+00 
 9.33670097e-09  3.30000000e-04 -2.62599075e-07  6.50000000e-01  2.65000000e+00 
 9.43670097e-09  3.30000000e-04 -3.45556996e-08  6.50000000e-01  2.65000000e+00 
 9.53670097e-09  3.30000000e-04  3.49407532e-08  6.50000000e-01  2.65000000e+00 
 9.63670097e-09  3.30000000e-04  4.21333613e-08  6.50000000e-01  2.65000000e+00 
 9.73670097e-09  3.30000000e-04  3.14407900e-08  6.50000000e-01  2.65000000e+00 
 9.83670097e-09  3.30000000e-04  1.96212138e-08  6.50000000e-01  2.65000000e+00 
 9.93670097e-09  3.30000000e-04  1.11474924e-08  6.50000000e-01  2.65000000e+00 
 1.00367010e-08  3.30000000e-04  6.05974972e-09  6.50000000e-01  2.65000000e+00 
 1.01367010e-08  3.30000000e-04  3.21437917e-09  6.50000000e-01  2.65000000e+00 
 1.02367010e-08  3.30000000e-04 -9.55782986e-10  6.50000000e-01  2.65000000e+00 
 1.03367010e-08  3.30000000e-04 -3.69576232e-08  6.50000000e-01  2.65000000e+00 
 1.04367010e-08  3.30000000e-04 -2.14013582e-07  6.50000000e-01  2.65000000e+00 
 1.05147435e-08  3.30000000e-04 -2.25375796e-07  6.50000000e-01  2.65000000e+00 
 1.05588257e-08  3.30000000e-04 -1.83187258e-07  6.50000000e-01  2.65000000e+00 
 1.06160121e-08  3.30000000e-04 -6.45346953e-08  6.50000000e-01  2.65000000e+00 
 1.06779219e-08  3.30000000e-04  1.03324426e-06  6.50000000e-01  2.65000000e+00 
 1.07515857e-08  3.30000000e-04  4.42440005e-06  6.50000000e-01  2.65000000e+00 
 1.08515857e-08  3.30000000e-04  9.76799421e-06  6.50000000e-01  2.65000000e+00 
 1.09515857e-08  3.30000000e-04  1.97086617e-05  6.50000000e-01  2.65000000e+00 
 1.10201802e-08  3.30000000e-04 -1.24204469e-05  6.50000000e-01  2.65000000e+00 
